#name	geneName
ENST00000456328.2	DDX11L1
ENST00000450305.2	DDX11L1
ENST00000488147.1	WASH7P
ENST00000619216.1	MIR6859-1
ENST00000473358.1	MIR1302-2HG
ENST00000469289.1	MIR1302-2HG
ENST00000607096.1	MIR1302-2
ENST00000417324.1	FAM138A
ENST00000461467.1	FAM138A
ENST00000606857.1	OR4G4P
ENST00000642116.1	OR4G11P
ENST00000492842.2	OR4G11P
ENST00000641515.2	OR4F5
ENST00000335137.4	OR4F5
ENST00000466430.5	AL627309.1
ENST00000495576.1	AL627309.3
ENST00000477740.5	AL627309.1
ENST00000471248.1	AL627309.1
ENST00000610542.1	AL627309.1
ENST00000453576.2	AL627309.1
ENST00000442987.3	CICP27
ENST00000494149.2	AL627309.6
ENST00000595919.1	AL627309.7
ENST00000493797.1	AL627309.2
ENST00000484859.1	AL627309.5
ENST00000490997.5	AL627309.5
ENST00000466557.6	AL627309.5
ENST00000410691.1	RNU6-1100P
ENST00000496488.1	AL627309.4
ENST00000662089.1	AL627309.5
ENST00000491962.1	AL627309.5
ENST00000655252.1	AL627309.5
ENST00000624431.2	FO538757.1
ENST00000623083.4	WASH9P
ENST00000612080.1	MIR6859-2
ENST00000442116.1	AP006222.1
ENST00000448958.2	AP006222.1
ENST00000441866.2	AP006222.1
ENST00000634344.2	AP006222.1
ENST00000450734.1	AP006222.1
ENST00000424587.7	AP006222.1
ENST00000669836.1	AP006222.2
ENST00000458203.2	RPL23AP24
ENST00000450983.1	AL732372.1
ENST00000412666.1	AL732372.1
ENST00000635159.1	AL732372.1
ENST00000431321.2	AL732372.2
ENST00000453935.1	AL732372.2
ENST00000440163.1	AL732372.2
ENST00000455207.5	AL732372.2
ENST00000437905.2	WBP1LP7
ENST00000426406.3	OR4F29
ENST00000455464.7	AL732372.2
ENST00000601814.5	AL732372.2
ENST00000445840.2	AL732372.2
ENST00000431812.1	AL732372.2
ENST00000432723.3	CICP7
ENST00000514436.1	AL732372.3
ENST00000419160.4	AL732372.2
ENST00000440038.7	AL732372.2
ENST00000642074.1	AL732372.2
ENST00000423728.6	AL732372.2
ENST00000616311.5	AL732372.2
ENST00000599771.6	AL732372.2
ENST00000641845.1	AL732372.2
ENST00000641916.1	AL732372.2
ENST00000601486.5	AL732372.2
ENST00000641579.1	AL732372.2
ENST00000616947.2	AL732372.2
ENST00000432964.1	AL732372.2
ENST00000608420.1	AL732372.2
ENST00000641303.1	AL732372.2
ENST00000641063.1	AL732372.2
ENST00000641049.1	AL732372.2
ENST00000642124.1	AL732372.2
ENST00000614007.1	U6
ENST00000634833.2	AL669831.3
ENST00000417636.2	AL669831.3
ENST00000419394.2	AL669831.3
ENST00000423796.1	AC114498.1
ENST00000450696.1	AC114498.1
ENST00000440196.3	AL669831.3
ENST00000641296.1	AL669831.3
ENST00000357876.6	AL669831.3
ENST00000635509.2	AL669831.3
ENST00000634337.2	AL669831.3
ENST00000648019.1	AL669831.3
ENST00000440200.5	AL669831.3
ENST00000452176.2	AL669831.3
ENST00000416931.1	MTND1P23
ENST00000457540.1	MTND2P28
