transcript_id	gene_symbol
ENST00000456328	DDX11L1
ENST00000450305	DDX11L1
ENST00000488147	WASH7P
ENST00000619216	MIR6859-1
ENST00000473358	MIR1302-2HG
ENST00000469289	MIR1302-2HG
ENST00000607096	MIR1302-2
ENST00000417324	FAM138A
ENST00000461467	FAM138A
ENST00000606857	OR4G4P
ENST00000642116	OR4G11P
ENST00000492842	OR4G11P
ENST00000641515	OR4F5
ENST00000335137	OR4F5
ENST00000466430	AL627309
ENST00000495576	AL627309
ENST00000477740	AL627309
ENST00000471248	AL627309
ENST00000610542	AL627309
ENST00000453576	AL627309
ENST00000442987	CICP27
ENST00000494149	AL627309
ENST00000595919	AL627309
ENST00000493797	AL627309
ENST00000484859	AL627309
ENST00000490997	AL627309
ENST00000466557	AL627309
ENST00000410691	RNU6-1100P
ENST00000496488	AL627309
ENST00000662089	AL627309
ENST00000491962	AL627309
ENST00000655252	AL627309
ENST00000624431	FO538757
ENST00000623083	WASH9P
ENST00000612080	MIR6859-2
ENST00000442116	AP006222
ENST00000448958	AP006222
ENST00000441866	AP006222
ENST00000634344	AP006222
ENST00000450734	AP006222
ENST00000424587	AP006222
ENST00000669836	AP006222
ENST00000458203	RPL23AP24
ENST00000450983	AL732372
ENST00000412666	AL732372
ENST00000635159	AL732372
ENST00000431321	AL732372
ENST00000453935	AL732372
ENST00000440163	AL732372
ENST00000455207	AL732372
ENST00000437905	WBP1LP7
ENST00000426406	OR4F29
ENST00000455464	AL732372
ENST00000601814	AL732372
ENST00000445840	AL732372
ENST00000431812	AL732372
ENST00000432723	CICP7
ENST00000514436	AL732372
ENST00000419160	AL732372
ENST00000440038	AL732372
ENST00000642074	AL732372
ENST00000423728	AL732372
ENST00000616311	AL732372
ENST00000599771	AL732372
ENST00000641845	AL732372
ENST00000641916	AL732372
ENST00000601486	AL732372
ENST00000641579	AL732372
ENST00000616947	AL732372
ENST00000432964	AL732372
ENST00000608420	AL732372
ENST00000641303	AL732372
ENST00000641063	AL732372
ENST00000641049	AL732372
ENST00000642124	AL732372
ENST00000614007	U6
ENST00000634833	AL669831
ENST00000417636	AL669831
ENST00000419394	AL669831
ENST00000423796	AC114498
ENST00000450696	AC114498
ENST00000440196	AL669831
ENST00000641296	AL669831
ENST00000357876	AL669831
ENST00000635509	AL669831
ENST00000634337	AL669831
ENST00000648019	AL669831
ENST00000440200	AL669831
ENST00000452176	AL669831
ENST00000416931	MTND1P23
ENST00000457540	MTND2P28
ENST00000414273	MTCO1P12
ENST00000621981	AC114498
ENST00000427426	MTCO2P12
ENST00000467115	MTATP8P1
ENST00000514057	MTATP6P1
ENST00000416718	MTCO3P12
ENST00000438434	WBP1LP6
ENST00000332831	OR4F16
ENST00000441245	AL669831
ENST00000414688	AL669831
ENST00000636676	AL669831
ENST00000447954	AL669831
ENST00000440782	CICP3
ENST00000506640	AL669831
ENST00000411249	RNU6-1199P
ENST00000422528	AL669831
ENST00000428504	AL669831
ENST00000655765	LINC01409
ENST00000412115	LINC01409
ENST00000670700	LINC01409
ENST00000429505	LINC01409
ENST00000657896	LINC01409
ENST00000434264	LINC01409
ENST00000457084	LINC01409
ENST00000658648	LINC01409
ENST00000656571	LINC01409
ENST00000665867	LINC01409
ENST00000669749	LINC01409
ENST00000666217	LINC01409
ENST00000665719	LINC01409
ENST00000651411	LINC01409
ENST00000589899	LINC01409
ENST00000609830	LINC01409
ENST00000443772	LINC01409
ENST00000644482	AL669831
ENST00000585826	LINC01409
ENST00000592547	LINC01409
ENST00000586928	LINC01409
ENST00000585745	LINC01409
ENST00000585768	LINC01409
ENST00000590848	LINC01409
ENST00000591440	LINC01409
ENST00000587530	LINC01409
ENST00000593022	LINC01409
ENST00000589531	LINC01409
ENST00000588951	LINC01409
ENST00000586288	LINC01409
ENST00000591702	LINC01409
ENST00000447500	AL669831
ENST00000655384	LINC01409
ENST00000667728	LINC01409
ENST00000590817	AL669831
ENST00000326734	FAM87B
ENST00000624927	LINC01128
ENST00000473798	LINC00115
ENST00000623808	LINC01128
ENST00000445118	LINC01128
ENST00000669922	LINC01128
ENST00000670780	LINC01128
ENST00000667414	LINC01128
ENST00000666741	LINC01128
ENST00000623070	LINC01128
ENST00000659124	LINC01128
ENST00000658846	LINC01128
ENST00000608189	LINC01128
ENST00000448975	LINC01128
ENST00000449005	LINC01128
ENST00000441765	LINC01128
ENST00000609139	LINC01128
ENST00000609009	LINC01128
ENST00000657837	LINC01128
ENST00000610067	LINC01128
ENST00000416570	LINC01128
ENST00000661237	LINC01128
ENST00000668541	LINC01128
ENST00000657175	LINC01128
ENST00000660797	LINC01128
ENST00000622921	LINC01128
ENST00000670824	LINC01128
ENST00000415295	LINC01128
ENST00000425657	LINC01128
ENST00000671208	AL669831
ENST00000661463	AL669831
ENST00000446136	FAM41C
ENST00000432963	FAM41C
ENST00000427857	FAM41C
ENST00000415481	TUBB8P11
ENST00000635557	AL669831
ENST00000607769	AL645608
ENST00000448179	AL645608
ENST00000398216	AL645608
ENST00000609207	LINC02593
ENST00000417705	LINC02593
ENST00000432961	LINC02593
ENST00000420190	SAMD11
ENST00000437963	SAMD11
ENST00000342066	SAMD11
ENST00000616016	SAMD11
ENST00000616125	SAMD11
ENST00000617307	SAMD11
ENST00000618181	SAMD11
ENST00000618323	SAMD11
ENST00000618779	SAMD11
ENST00000620200	SAMD11
ENST00000622503	SAMD11
ENST00000341065	SAMD11
ENST00000455979	SAMD11
ENST00000478729	SAMD11
ENST00000474461	SAMD11
ENST00000466827	SAMD11
ENST00000464948	SAMD11
ENST00000327044	NOC2L
ENST00000483767	NOC2L
ENST00000477976	NOC2L
ENST00000496938	NOC2L
ENST00000487214	NOC2L
ENST00000469563	NOC2L
ENST00000338591	KLHL17
ENST00000622660	KLHL17
ENST00000463212	KLHL17
ENST00000466300	KLHL17
ENST00000481067	KLHL17
ENST00000379410	PLEKHN1
ENST00000379407	PLEKHN1
ENST00000379409	PLEKHN1
ENST00000480267	PLEKHN1
ENST00000491024	PLEKHN1
ENST00000341290	PERM1
ENST00000479361	PERM1
ENST00000433179	PERM1
ENST00000606034	AL645608
ENST00000428771	HES4
ENST000003049521	HES4
ENST00000481869	HES4
ENST00000484667	HES4
ENST00000624697	ISG15
ENST00000624652	ISG15
ENST00000423619	AL645608
ENST00000458555	AL645608
ENST00000649529	ISG15
ENST00000379370	AGRN
ENST00000620552	AGRN
ENST00000651234	AGRN
ENST00000652369	AGRN
ENST00000469403	AGRN
ENST00000479707	AGRN
ENST00000466223	AGRN
ENST00000478677	AGRN
ENST00000492947	AGRN
ENST00000461111	AGRN
ENST00000418300	AL645608
ENST00000394517	AL390719
ENST00000427998	AL390719
ENST00000442292	AL645608
ENST00000456409	AL390719
ENST00000412397	AL390719
ENST00000433695	AL390719
ENST00000451054	AL390719
ENST00000453464	RNF223
ENST00000379339	C1orf159
ENST00000465822	C1orf159
ENST00000421241	C1orf159
ENST00000379325	C1orf159
ENST00000487177	C1orf159
ENST00000467751	C1orf159
ENST00000477196	C1orf159
ENST00000464905	C1orf159
ENST00000379320	C1orf159
ENST00000379319	C1orf159
ENST00000434641	C1orf159
ENST00000482816	C1orf159
ENST00000462097	C1orf159
ENST00000473600	C1orf159
ENST00000475119	C1orf159
ENST00000442117	C1orf159
ENST00000427787	C1orf159
ENST00000472741	C1orf159
ENST00000480643	C1orf159
ENST00000648183	AL390719
ENST00000416774	LINC01342
ENST00000384997	MIR200B
ENST00000384875	MIR200A
ENST00000362106	MIR429
ENST00000606993	AL390719
ENST00000379317	TTLL10-AS1
ENST00000379289	TTLL10
ENST00000379290	TTLL10
ENST00000506177	TTLL10
ENST00000673999	TTLL10
ENST00000379288	TTLL10
ENST00000460998	TTLL10
ENST00000514695	TTLL10
ENST00000486379	TTLL10
ENST000003285960	TNFRSF18
ENST00000379268	TNFRSF18
ENST00000486728	TNFRSF18
ENST00000379265	TNFRSF18
ENST00000497869	TNFRSF4
ENST00000379236	TNFRSF4
ENST00000453580	TNFRSF4
ENST00000660930	SDF4
ENST000003600012	SDF4
ENST000002637412	SDF4
ENST00000465727	SDF4
ENST00000494748	SDF4
ENST00000478938	SDF4
ENST00000403997	SDF4
ENST00000459994	SDF4
ENST00000379198	B3GALT6
ENST00000462849	C1QTNF12
ENST00000478606	C1QTNF12
ENST00000330388	C1QTNF12
ENST00000468365	C1QTNF12
ENST00000486627	C1QTNF12
ENST00000565563	AL162741
ENST00000450390	UBE2J2
ENST000003494311	UBE2J2
ENST00000347370	UBE2J2
ENST00000400929	UBE2J2
ENST00000464036	UBE2J2
ENST00000360466	UBE2J2
ENST00000400930	UBE2J2
ENST00000467339	UBE2J2
ENST00000473215	UBE2J2
ENST00000435198	UBE2J2
ENST00000509720	UBE2J2
ENST00000491779	UBE2J2
ENST00000466752	UBE2J2
ENST00000503294	UBE2J2
ENST00000477894	UBE2J2
ENST00000471154	UBE2J2
ENST00000422076	UBE2J2
ENST00000502382	UBE2J2
ENST00000461142	UBE2J2
ENST00000488418	UBE2J2
ENST00000434139	LINC01786
ENST00000453732	LINC01786
ENST000003791160	SCNN1D
ENST00000379101	SCNN1D
ENST00000338555	SCNN1D
ENST00000400928	SCNN1D
ENST00000470022	SCNN1D
ENST000003254252	SCNN1D
ENST00000467651	SCNN1D
ENST00000379099	SCNN1D
ENST00000492936	ACAP3
ENST000003547000	ACAP3
ENST00000467278	ACAP3
